STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
25,015,821400,5250,+42.360552,-072.569362
25,015,821500,3279,+42.383831,-072.616510
25,015,821601,3424,+42.342313,-072.645118
25,015,821602,3844,+42.332911,-072.664212
25,015,821700,3725,+42.344110,-072.692744
25,015,821901,3291,+42.324132,-072.641214
25,015,821903,3425,+42.313643,-072.633999
25,015,821904,2764,+42.324464,-072.627703
25,015,822000,1962,+42.319461,-072.639642
25,015,822200,6114,+42.309807,-072.677394
25,015,822300,5372,+42.267231,-072.654481
25,015,822401,5842,+42.248672,-072.685128
25,015,822402,4839,+42.269931,-072.673656
25,015,822500,5792,+42.226942,-072.719408
25,015,822601,2180,+42.261957,-072.863749
25,015,822603,1607,+42.308539,-072.771106
25,015,822605,1222,+42.388947,-072.837083
25,015,822606,3536,+42.403562,-072.746532
25,015,822700,3197,+42.431940,-072.937380
25,017,300100,3074,+42.675572,-071.816081
25,017,301101,4024,+42.675954,-071.703645
25,017,301102,4902,+42.645687,-071.705578
25,017,310100,5267,+42.645084,-071.310221
25,017,310200,5976,+42.654524,-071.298637
25,017,310300,6016,+42.659088,-071.308552
25,017,310400,3245,+42.654299,-071.309320
25,017,310500,3449,+42.655462,-071.327867
25,017,310601,5746,+42.649233,-071.365794
25,017,310602,5825,+42.650737,-071.340199
25,017,310700,4441,+42.645091,-071.328879
25,017,311100,2410,+42.643435,-071.320576
25,017,311200,3267,+42.637375,-071.324489
25,017,311300,4057,+42.636985,-071.334194
25,017,311400,5986,+42.632734,-071.352902
25,017,311500,2974,+42.631167,-071.334702
25,017,311600,5295,+42.622846,-071.329467
25,017,311700,5098,+42.630852,-071.326020
25,017,311800,3513,+42.634071,-071.320345
25,017,311900,2429,+42.638402,-071.307919
25,017,312000,2938,+42.634759,-071.306426
25,017,312100,3149,+42.630026,-071.302651
25,017,312200,4309,+42.621752,-071.306545
25,017,312300,4931,+42.623973,-071.288630
25,017,312400,2354,+42.640962,-071.300397
25,017,312501,4464,+42.644915,-071.286182
